Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
A B M International Ltd.,Between 1972 and 1985,29-06-2016,ABMINTLLTD,,27-07-2021,,08-09-2021,,,,7027392,,7027392,0,100,,74.7,,74.7,,0,,31-03-2020,30-09-2022,97.71,17.38,-4.78,-6.51,31-03-2021,31-12-2022,22.44,128.62,-2.49,10.17,31-03-2023,31-03-2022,126.99,23.07,3.43,1.39,30-06-2023,31-03-2023,85.37,24.9,-6.69,-1.09,127.29,127.29,0.24,0.24,0.2,0.2,,,122.93,122.91,1.39,1.39,22.9,26.77,9.41,9.41,15.1,11.23,0.35,0.35,,,1.91,1.91,22.9,26.77,0.17,0.17,5.45,1.58,0.05,0.05,,,21.07,21.06,,,1.28,1.28,0.01,0.01,14.12,14.12,3.39,3.39,0.28,0.28,-0.04,-0.04,14.14,14.14,,34.62,15-09-2023,0.5,36.8,,,9408000,0.6,10,,-6.93,,-6.94,,-6.88,,,-6.89,,,2.69,,,27.63,1.25,12.01
A B M Knowledgeware Ltd.,After 1991,,,ABMKNO,,16-10-1995,,,,,13386929,,13386929,,100,,66.93,,66.93,,0,,31-03-2020,30-09-2022,60.27,17.03,15.31,4.08,31-03-2021,31-12-2022,16.82,73.65,3.19,19.59,31-03-2023,31-03-2022,83.59,15.8,3.14,14.85,30-06-2023,31-03-2023,65.65,17.41,12.88,3.06,93.8,77.9,4.68,4.76,0.74,0.88,,,84.4,69.95,14.55,12.88,245.91,253.47,12.95,10.24,200.44,199.66,9.3,9.01,,,30.78,27,245.91,253.47,52.31,42.98,13.85,20.74,4.61,5.95,6.43,6.43,168.77,175.14,84.92,84.87,13.39,13.39,4.52,4.52,11.5,10.88,7.37,4.4,-17.91,-15.07,-2.76,-2.76,7.22,6.6,97.28,194.58,,1.19,,5,6.62,,0,,6.79,,7.24,,8.41,,14.69,0.93,,102.43,,,1.9,5.18,,,
A B N Intercorp Ltd.,After 1991,,ABNINT,,,,,,,,243232,,243232,0,100,,57.98,,57.98,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,0.22,,-0.06,10.05,,,0.42,,9.58,,0.04,,,,0.01,10.05,,,0.03,,9.01,,,,,0.98,,,0.67,,,0.14,,,0.14,,0.19,,-0.42,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
A C C Ltd.,Before 1950,03-11-1994,ACC,ACC,,02-01-1981,,,,,106456927,12472807,93984120,12472807,100,6.64,56.69,11.72,50.05,,6.64,100,31-12-2019,30-09-2022,15656.65,3987.34,1358.91,-91.09,31-12-2020,31-12-2022,4536.97,13784.54,110.45,1414.94,31-03-2023,31-12-2021,16151.35,4790.77,236.57,1820.27,30-06-2023,31-03-2023,22209.97,5201.11,869.91,463.93,22197.86,22197.65,241.02,245.7,228.44,223.83,2.3,,21876.2,21870.43,869.06,869.91,20717.32,20897.93,201.72,198.24,13940.23,13844.76,1032.72,979.52,125.68,125.68,5723.26,5694.8,20717.32,20897.93,7511.89,7486.29,163.31,192.73,1868.9,1832.27,1095.05,1095.05,8191.03,8337.4,120.13,80.06,1623.5,1624.2,,,3013.86,2925.97,-1235.08,-1238.77,-4637.3,-4641.98,-1237.7,-1237.71,256.63,128.85,2027.15,38064.48,15-09-2023,1.01,2026.85,10,52.2,187787263,-0.07,10,52.68,52.2,89.68,52.68,90.43,89.68,38.84,2.66,90.43,35260.39,38.83,2.66,1.08,16.24,35254.75,1.08,16.23
A C E Edutrend Ltd.,After 1991,,,ACEEDU,,10-05-1995,,12-03-2020,,,458778,,458778,,100,,5.01,,5.01,,0,,31-03-2020,30-09-2022,0.34,,-0.54,,31-03-2021,31-12-2022,,0.18,-0.01,-0.32,31-03-2023,31-03-2022,,,-0.01,-0.44,30-06-2023,31-03-2023,,,-0.21,-0.06,,,,,,,,,,0.2,,-0.2,12.99,,,9.16,,-0.24,,,,,,4.07,12.99,,,1.02,,,,6.08,,,5.53,,,,,,,,,,,-0.05,,,,,,,2.52,2.31,,0.16,,10,-0.17,,0.13,,,,-0.11,,,,,0.26,,2.31,,,1,0,,,
A C I Infocom Ltd.,Between 1972 and 1985,,,ACIIN,,18-02-1994,,07-04-2008,11-04-2008,,25279116,,25279116,,100,,22.88,,22.88,,0,,31-03-2020,30-09-2022,1.54,0.15,-0.03,0.05,31-03-2021,31-12-2022,0.14,0.55,0.02,0.18,31-03-2023,31-03-2022,0.62,0.14,0.02,0.04,30-06-2023,31-03-2023,0.53,0.16,0.1,0.06,,,0.52,,,0.52,,,,0.42,,0.1,17.2,,,11.05,,5.76,,0.02,,,,0.37,17.2,,,0.03,,5.57,,0.38,,,11.03,,,,0.46,,0.01,,,0.01,,,,,,,,,1.44,15.91,,1.06,,1,0.01,,-0.41,,,,0.01,,,,113.65,0.94,,15.89,,,1,88.28,,,
A C S Technologies Ltd.,After 1991,,,LNIND,,13-07-1995,,08-05-2018,,,13593209,,13593209,,100,,13.37,,13.37,,0,,31-03-2018,30-09-2022,7.22,,5.21,,31-03-2019,31-12-2022,3.49,,0.13,-1.28,31-03-2023,31-03-2022,,52.87,2.2,-0.01,30-06-2023,31-03-2023,68.84,11.13,2.87,0.5,,,,,,,,,,3.35,,-0.17,193.21,,,101.69,,47.32,,4.3,,,,39.9,193.21,,,7.43,,114.48,,0.45,,,67.39,,,,,,,,,0.65,,-1.07,,0.02,1.12,,,0.65,2.19,22.27,,0.25,,10,-0.32,,-0.1,,,,-0.06,,,,,0.15,,45.03,,,0.49,16.26,,,
A D C India Communications Ltd.,Between 1986 and 1990,15-05-1995,KRONECOMM,ADCINDIA,,07-08-1991,,,,,3313037,2153474,,3313037,100,46.81,72.02,65,0,,72.02,65,31-03-2020,30-09-2022,78.13,36.51,3.8,2.86,31-03-2021,31-12-2022,38.4,59.86,3.82,3.62,31-03-2023,31-03-2022,120.71,34.52,-0.84,8.49,30-06-2023,31-03-2023,142.91,44.24,8.17,-0.09,,142.9,1,,,1,,,,142.67,,8.17,93.91,,,4.6,,47.36,,4.21,,,,37.74,93.91,,,2.98,,,,7.35,,,81.34,,,,22.62,,,,,25.77,,-4.24,,0.71,-6.4,,,25.58,691.25,169.8,31-03-2003,1.06,47,10,12.48,4600000,0.46,10,,10.11,12.91,,,12.13,55.4,6.36,,292.2,4.65,0.56,1.09,15.23,12.53,1.73,1.31
A D F Foods Ltd.,Between 1986 and 1990,09-02-1995,ADFFOODS,ADFFOODS,20-12-2000,27-07-1992,14-09-2010,,,,8020713,1050000,5741789,2278924,100,4.78,36.5,13.09,26.13,10.89,10.37,18.65,31-03-2020,30-09-2022,194.47,83.19,31.47,13.09,31-03-2021,31-12-2022,99.77,236.64,19.22,36.69,31-03-2023,31-03-2022,302.01,98.22,20.29,41.49,30-06-2023,31-03-2023,353.34,84.59,60.01,16.36,450.28,353.38,8.95,8.95,0.9,0.91,,,393.64,305.9,55.85,60.01,562.61,529.53,24.72,22.35,396.9,403.31,63.81,76.03,1.68,49.55,44.1,60.92,562.61,529.53,174.91,95.53,,87.83,8.84,69.2,0.07,0.07,307.62,330.94,79.99,79.99,36.64,63.11,0.02,0.03,63.45,42.05,50.52,24.91,-62.87,-56.75,17.98,-4.82,39.87,18.47,239.35,2629.31,15-09-2023,1.35,239.3,2,6.1,109863595,0.39,2,5.6,6.1,6.61,5.6,6.88,6.61,39.24,6.11,6.88,2510.52,39.23,6.1,1.05,28.25,2509.97,1.05,28.24
A D S Diagnostic Ltd.,Between 1972 and 1985,,,ADSDIAG,,18-09-1986,,,,,995410,,995410,,100,,45.39,,45.39,,0,,31-03-2020,30-09-2022,14.33,2.38,0.47,0.13,31-03-2021,31-12-2022,3.76,10.23,0.17,0.34,31-03-2023,31-03-2022,10.46,5.41,0.07,0.44,30-06-2023,31-03-2023,13.81,3.26,0.41,0.04,,10.1,0.08,,,0.08,,,,9.28,,0.44,12.03,,,2.24,,1.86,,0.3,0.3,,,7.63,12.03,,,1.15,,0.04,,0.22,,0.18,10.42,,,,5.41,,,,,1.2,,,,,,,,,11.34,2.49,,,,10,0.18,,,,,,1.09,,,,62.17,1.18,,3.08,,,0.81,2.35,,,
A F Enterprises Ltd.,Between 1972 and 1985,,,AFEL,,23-05-2014,,12-03-2020,20-10-2020,,807600,,807600,,100,,5.72,,5.72,,,,31-03-2020,30-09-2022,54.01,0.7,1.73,2.84,31-03-2021,31-12-2022,1.04,18.69,0.11,0.78,31-03-2023,31-03-2022,23.92,20.36,-4.1,1.04,30-06-2023,31-03-2023,24.18,1.17,1.03,-0.45,48.55,23.89,1.75,1.75,,,,,49.82,25.22,1.12,1.04,115.68,143.77,13.45,13.45,5.08,4.99,6.88,5.04,4.72,6.55,118.36,92.2,115.68,143.77,5.69,3.99,,0.95,4.23,4.22,,,106.52,133.85,,,3.98,3.99,0.36,0.41,0.77,0.75,-9.18,-8.46,-0.9,-0.87,8.61,9.42,1.17,1.1,5.34,7.54,,0.38,,10,-1.49,,1.11,,-1.75,,-0.57,,-0.83,,,0.37,,11.31,,,0.67,3.38,,,
A G I Greenpac Ltd.,Between 1951 and 1971,12-05-1995,AGI,AGI,,13-06-1989,,,,,38972819,,38972819,,100,,60.24,,60.24,,0,,31-03-2020,30-09-2022,1859.07,512.31,48.42,33.95,31-03-2021,31-12-2022,567.3,1259.89,53.23,114.8,31-03-2023,31-03-2022,1429.7,680.32,95.84,116.52,30-06-2023,31-03-2023,2281.48,558.47,248.79,63.49,2692.83,2273.98,3.52,1.95,1.9,3.52,,,2671.3,2051.61,70.05,261.64,3153.52,3634.8,14.46,12.94,1498.37,1593.65,1069.7,833.68,568.14,766.56,1052.27,713.25,3153.52,3634.8,1950.26,1375.86,20.07,496.8,115.36,47.87,0.28,,1082.61,1388.86,0.27,,327.56,569.98,9.1,11.39,49.72,270.15,328.99,522.5,-322.17,221.96,-554.05,-185.18,57.26,230.18,717.3,4624.73,15-09-2023,1.24,712.35,2,36.25,64697381,0.26,2,,36.25,57.02,,,57.02,19.79,2.83,,5133.19,19.65,2.81,0.9,9.66,5101.17,0.9,9.6
A G I Infra Ltd.,After 1991,,,AGIIL,,27-03-2015,,,,,8911320,,6755320,2156000,100,,72.94,,55.3,,17.65,,31-03-2020,30-09-2022,91.02,58.21,15.05,11.55,31-03-2021,31-12-2022,60.85,110.24,12.22,16.92,31-03-2023,31-03-2022,197.45,66.36,13.32,36.42,30-06-2023,31-03-2023,241.11,68.81,48.12,13.34,199.3,199.31,0.79,0.79,0.79,0.79,,,214.38,217.28,36.42,36.42,609.55,609.52,12.22,12.22,113.62,113.66,24.76,24.75,24.32,24.33,458.92,458.92,609.55,609.52,55.64,55.64,49.61,66.23,15.85,,1.55,1.55,484.42,485.16,,,443.52,443.52,1.13,1.13,30.44,30.44,106.37,106.37,-76.25,-76.25,-15.71,-15.71,31.35,31.34,601.2,734.47,,0.1,,10,41.29,,0.65,,41.28,,46.62,,46.61,,14.56,3.95,,743.32,,,0.99,14.14,,,
A G S Transact Technologies Ltd.,After 1991,31-01-2022,AGSTRA,AGSTRA,,31-01-2022,,,,,79545799,10155000,79545799,,100,8.36,65.52,12.77,65.52,12.77,0,,31-03-2020,30-09-2022,1457.61,294.18,89.89,11.92,31-03-2021,31-12-2022,306.49,1373.11,1.61,70.09,31-03-2023,31-03-2022,1317.02,304.14,-15.37,-88.62,30-06-2023,31-03-2023,1210.24,261.19,14.88,-4.77,696.56,544.49,783.01,1087.3,7.48,5.87,,,1876.11,1418.15,-81.68,-88.62,2155.11,2373.27,120.17,120.17,361.59,431.7,767.41,672.88,636.51,717.27,1124.1,930.36,2155.11,2373.27,910.07,693.53,0.01,266.19,154.32,124.39,20.94,18.31,983.42,1183.95,,,64.05,64.88,2.92,2.93,76.48,44.15,324.55,236.92,-12.07,29.84,-829.57,-874.78,30.02,20.87,61.81,751.24,15-09-2023,,61.95,10,-0.54,121403076,,10,1.49,-0.54,13.22,1.49,20.04,13.22,,1.33,20.04,1683.87,,1.34,0.45,2.82,1685.57,0.45,2.82
A G Universal Ltd.,After 1991,09-05-2023,AGUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-03-2022,70.46,,,0.71,,31-03-2023,59.33,,1.16,,,70.46,0.16,,,0.15,,,,70.45,,0.71,18.6,,,1.72,,0.9,,5.36,5.31,,,10.62,18.6,,,0.4,,4.91,,0.1,,0.22,12.82,,,,1.13,,0.53,,,,,1.4,,-0.23,-0.71,,,0.53,,38.85,15-09-2023,,70.85,,,5484000,,10,,2.13,,,,2.72,,,,,33.21,2.51,,,47.52,0.82,26.7
A I A Engineering Ltd.,After 1991,14-12-2005,AIAENG,AIAENG,,14-12-2005,,,,,55148921,,55148921,,100,,58.47,,58.47,,0,,31-03-2020,30-09-2022,2587.62,1083.15,832.53,233.48,31-03-2021,31-12-2022,997.11,2473,355.13,484.9,31-03-2023,31-03-2022,3081.57,1067.48,226.7,584.5,30-06-2023,31-03-2023,4044.76,1032.89,968.83,247.68,4909.55,4045.52,320.75,229.52,107.09,104.04,84.69,,4088.48,3406.59,1056.5,968.83,8054.01,8392.44,27.8,18.86,5672.47,5454.15,1536.91,1528.58,2.92,3,1155.26,1052.42,8054.01,8392.44,1002.76,980.04,0.8,15.73,1665.45,1646.67,0.23,0.11,5304.11,5592.72,2253.52,2192.17,627.88,1218.02,0.25,0.27,805.71,611.79,867.72,647.12,-1208.31,-1109.95,399.92,395.01,307.48,113.71,3687.95,34786.53,15-09-2023,0.58,3688.3,2,112.65,94320370,0.23,2,121.78,112.65,122.69,121.78,132.01,122.69,32.74,6.25,132.01,32460.04,32.74,6.25,1.07,23.54,32463.34,1.07,23.55
A I Champdany Inds. Ltd.,Before 1950,14-02-2007,AICHAMP,AICHAMP,10-10-2018,14-02-2007,16-10-2018,,,,18112654,,18112654,,100,,58.9,,58.9,,0,,31-03-2020,30-06-2022,126.96,6.14,-0.28,-2.24,31-03-2021,30-09-2022,14.06,66.36,-2.64,-17.49,31-12-2022,31-03-2022,44.05,11.94,-0.84,-3.06,31-03-2023,31-03-2023,47.15,15.01,14.95,20.67,48.88,47.31,0.9,0.91,0.86,0.85,0.01,0.01,74.31,72.66,14.93,14.95,280.08,284.17,36.4,34.84,62.66,62.18,126.78,126.78,4.06,4.06,58.33,56.28,280.08,284.17,60.17,52.3,2.79,9.21,1.14,1.14,5,5,193.75,196.39,,,128,127.92,0.06,0.06,5.13,5.12,-12.67,-12.4,69.3,69.32,-57.1,-56.81,0.1,0.09,40.69,81.71,08-10-2018,0.52,12.45,5,-13.62,30753831,0.3,5,-13.64,-0.35,-12.62,0.48,-12.62,0.99,,2.22,1.83,143.13,,0.68,0.87,6.69,171.65,0.22,9.23
A J R Infra & Tolling Ltd.,After 1991,03-04-2008,AJRINFRA,AJRINFRA,13-03-2023,03-04-2008,,13-03-2023,,,193999800,193999800,193999800,,100,20.6,20.6,100,20.6,100,0,,31-03-2019,31-03-2022,22.89,,-73.41,-561.14,31-03-2020,30-06-2022,,0.84,-1277.71,-11.47,30-09-2022,31-03-2021,0.63,,-2.75,6.25,31-12-2022,31-03-2022,,,-556.75,-0.92,178.26,,8.78,7.79,1.28,1.04,,,1162.27,613.1,-960.08,-556.75,2215.87,2498.52,47.22,189.18,-924.35,108.16,101.98,395.92,0,2.54,3273.67,1522.61,2215.87,2498.52,722.33,0.09,551.83,899.61,69.3,1183.63,804.72,25.94,105.86,190.87,51.83,51.83,,0.2,0.01,0.01,28.57,0.69,53.33,4.26,27.92,19.95,-24.91,-86.82,2.01,0.7,0.67,64.52,11-09-2023,1.77,0.7,2,-6.07,941830724,0.06,2,-3.01,-6.07,-6.07,-3.01,-2.47,-6.07,,,-2.47,118.89,,,0.53,10.06,121.72,0.54,10.3
A K Capital Services Ltd.,After 1991,,,AKCAPIT,,09-06-1995,,,,,4718730,,4718730,,100,,71.5,,71.5,,0,,31-03-2020,30-09-2022,63.25,30.72,18.67,7.66,31-03-2021,31-12-2022,29.33,72.17,7.61,25.42,31-03-2023,31-03-2022,86.31,28.73,8.51,26.32,30-06-2023,31-03-2023,115.07,30.49,30.71,7.17,6.67,2.29,115.84,407.17,210.75,33.26,5.4,,325.88,87.57,88.42,30.71,984.38,3123.76,34.89,6.6,832.77,459.16,,,,,71.87,8.94,984.38,3123.76,43.72,12.33,,,,,,,,,,,,,0.03,0.11,,,44.59,2.07,-230.43,-6.77,7.05,177.36,27.73,2.74,693.8,457.91,,0.76,,10,46.68,,0.03,,136.06,,51,,148.12,,14.86,0.98,,961.05,,,0.48,11.76,,,
A K G Exim Ltd.,After 1991,10-10-2018,AKG,,,,,,,,6576574,,6576574,0,100,,62.09,,62.09,,0,,31-03-2020,30-09-2022,66.47,13.71,1.09,0.15,31-03-2021,31-12-2022,24.33,78.68,0.31,1.07,31-03-2023,31-03-2022,123.67,29,0.66,1.28,30-06-2023,31-03-2023,85.7,35.37,1.28,0.28,186.77,123.68,,0.02,0.01,,,,185.33,122.83,1.94,1.28,43.55,48.51,10.61,10.59,12.52,11.43,0.46,0.46,0.18,0.18,24.92,21.07,43.55,48.51,0.6,0.6,,0.53,0.09,0.05,0.01,,42.37,46.01,,,3.2,3.22,,0.02,2.21,1.12,,-1.8,,1.12,1.79,,,1.13,,78.01,15-09-2023,0.81,24.55,,,31776576,0.74,10,,0.43,,0.84,,0.49,,,0.9,,56.94,1.59,,,89.08,0.88,12.85
A K I India Ltd.,After 1991,06-04-2023,AKI,AKI,,12-10-2018,,,,,46140750,,46140750,,100,,68.94,,68.94,,0,,31-03-2020,30-09-2022,41.04,16.87,0.75,0.82,31-03-2021,31-12-2022,12.23,44.85,0.29,0.89,31-03-2023,31-03-2022,60.94,14.52,0.23,1.65,30-06-2023,31-03-2023,55.47,13.19,1.08,0.31,,62.79,0.51,,,0.03,,,,62.85,,1.64,60.49,,,10.3,,3.76,,11.12,11.1,,,35.31,60.49,,,13.73,,2.47,,0.04,,0.09,41.65,,,,16.83,,0.08,,,1.19,,0.77,,-1,0.34,,,1.27,12.86,84.87,15-09-2023,0.93,12.5,2,0.25,66930495,2.33,2,0.26,0.25,0.52,0.26,0.53,0.52,52.17,5.57,0.53,114.23,50.7,5.42,0.75,20.69,111.82,0.75,20.26
A K M Creations Ltd.,After 1991,,,AKM,,29-09-2017,,,,,1170175,383675,1170175,,100,12.74,38.85,32.79,38.85,32.79,0,,31-03-2020,30-06-2016,2.11,0,-0.2,0,31-03-2021,30-09-2016,1.68,2.46,0,-0.03,30-06-2017,31-03-2022,3.12,0,0,-0.42,30-09-2017,31-03-2023,13.23,3.42,0.26,-0.09,,13.23,0.06,,,0.06,,,,13.56,,0.26,10.21,,,5.49,,4.43,,,,,,0.29,10.21,,,0.13,,,,0.01,,,10.07,,,,0.18,,0.36,,,0.01,,-2.45,,0,2.48,,,0.37,40,12.05,,,,10,0.86,,,,,,0.96,,,,46.34,1.62,,11.68,,,1.03,28.48,,,
A K Spintex Ltd.,After 1991,,,AKSPINTEX,,08-10-2015,,,,,3545673,,3545673,,100,,70.47,,70.47,,0,,31-03-2020,30-09-2022,63.58,28.69,1.91,2.43,31-03-2021,31-12-2022,27.66,48,1.45,0.46,31-03-2023,31-03-2022,72.65,32.32,1.54,1.81,30-06-2023,31-03-2023,116.43,30.32,7.32,2.23,,72.65,0.11,,,0.11,,,,70.92,,1.81,52.52,,,5.03,,18.17,,7.31,5.23,,,22.01,52.52,,,24.67,,,,0.62,,,27.03,,,,7.83,,0.01,,,0.06,,7.01,,-7.6,0.6,,,0.03,123.1,61.94,,0.78,,10,15.2,,0.72,,,,28,,,,8.1,1.89,,72.91,,,0.85,9.56,,,
A M D Industries Ltd.,Between 1972 and 1985,19-03-2007,AMDIND,AMDIND,,19-03-2007,,,,,12807466,,12807466,,100,,66.82,,66.82,,0,,31-03-2020,30-09-2022,174.55,58.17,5.18,-0.26,31-03-2021,31-12-2022,49.74,118.61,1.11,3.11,31-03-2023,31-03-2022,209.64,113.83,8.01,8.2,30-06-2023,31-03-2023,350,101.34,19.21,0.79,222.64,209.68,0.29,0.22,0.22,0.24,,,216.08,201.4,5.65,8.2,296.41,277.81,23.24,19.17,85.33,120.96,68.4,32.1,26.2,57.93,100.84,124.18,296.41,277.81,92.89,96.01,0.08,2.41,16.11,23.91,,0.29,172.74,165.86,,,82.79,96.42,0.03,0.02,4.04,12.5,35.84,-13.01,-16.22,-8.73,25.77,-20.04,4.06,4.55,56.34,107.42,15-09-2023,1.36,55.75,10,5.04,19166749,0.35,10,,5.04,12.05,,,12.05,11.18,0.68,,189.5,11.06,0.67,0.57,6.37,188.36,0.57,6.33
A M I Organics Ltd.,After 1991,14-09-2021,AMIORG,AMIORG,,14-09-2021,,,,,14358710,,14358710,,100,,39.41,,39.41,,0,,,30-09-2022,,146.99,,19.04,31-03-2021,31-12-2022,152.36,340.61,22.28,54,31-03-2023,31-03-2022,520.14,186.38,27.16,71.95,30-06-2023,31-03-2023,616.73,142.35,83.34,16.86,616.74,616.74,4.31,4.31,2.18,2.18,,,552.73,552.68,83.29,83.34,759.46,766.96,36.44,36.44,557.52,550.35,10.14,9.89,0.38,0.63,162.86,162.78,759.46,766.96,258.95,222.09,1.65,33.45,4.25,4.25,2.21,2.21,467.66,470.1,,,119.18,119.18,0.08,0.08,58.6,58.54,65.52,55.73,-33.04,-20.47,-14.44,-12.25,30.53,30.48,1302,4735.18,15-09-2023,,1297.1,10,23.63,36437062,,10,23.56,23.63,27.12,23.56,27.05,27.12,55.11,7.86,27.05,4687.19,54.9,7.83,1.01,36.83,4669.33,1.01,36.69
A M J Land Holdings Ltd.,Between 1951 and 1971,07-12-1994,AMJLAND,AMJLAND,,02-01-1981,,,,,27020005,,27020005,,100,,65.9,,65.9,,0,,31-03-2020,30-09-2022,17.12,2.62,9.7,2.13,31-03-2021,31-12-2022,1.17,11.21,0.22,4.65,31-03-2023,31-03-2022,7.42,2.64,1.5,8.38,30-06-2023,31-03-2023,8.9,2.82,6.51,2.35,35.21,3.46,9.24,4.19,2.69,2.42,0.32,0.32,51.16,6.94,6.67,6.51,144.8,186.33,8.68,8.2,137.49,124.26,11.9,6.63,,5,28.26,5.71,144.8,186.33,17.73,16.56,57.25,66.04,17.16,17.7,0.34,,42.41,91.76,21.4,21.4,14.44,57.29,0.01,0.02,2.77,0.52,-5.77,-0.32,-0.73,0.64,-0.82,-4.08,2.69,0.43,31.73,129.83,15-09-2023,1.1,31.6,2,1.43,41000000,-0.04,2,1.51,1.43,1.88,1.51,1.97,1.88,22.24,0.97,1.97,74.71,22.15,0.97,1.74,7.64,74.18,1.75,7.58
A M S Polymers Ltd.,Between 1972 and 1985,,,AMS,,06-07-2018,,,,,1012450,,1012450,,100,,30.66,,30.66,,0,,31-03-2020,30-09-2022,28.38,19.4,0.07,0.03,31-03-2021,31-12-2022,20.21,30.93,0.05,0.07,31-03-2023,31-03-2022,52.59,9.11,0.19,0.09,30-06-2023,31-03-2023,85.05,23.07,0.52,1.01,,85.05,0.01,,,,,,,84.35,,0.52,34.62,,,3.3,,0.53,,0.01,,,,30.78,34.62,,,0.2,,0.06,,,,,34.36,,,,2.56,,0.01,,,0.16,,-4.41,,-0.2,4.51,,,0.01,24.55,8.11,,,,10,-0.03,,,,,,-0.12,,,,,2.46,,11.21,,,0.72,37.36,,,
A N G Lifesciences India Ltd.,After 1991,,,ANG,,08-09-2017,,,,,9219537,4137500,9219537,,100,31.68,70.6,44.88,70.6,44.88,,,31-03-2020,30-09-2022,126.83,58.39,6.1,2.62,31-03-2021,31-12-2022,45.17,154.28,-1.6,7.25,31-03-2023,31-03-2022,348.67,31.88,-5.03,39.71,30-06-2023,31-03-2023,207.01,50.61,-0.66,1.6,354.38,348.67,0.41,0.29,0.29,0.27,,,321.55,314.38,40.32,39.71,272.07,294.43,10.37,10.37,73.4,73.11,42.82,33.11,12.01,21.65,167.84,155.48,272.07,294.43,92.6,82.32,0.03,3.52,0.41,0.39,0.88,0.88,183.14,194.38,,,29.17,36.95,0.28,0.34,6.32,6.3,24.72,27.4,-44.4,-42.5,15.28,19.92,0.35,0.29,74.93,97.85,,1.47,,10,-1.84,,0.83,,-1.53,,4.73,,5.71,,,1.13,,151.39,,,0.65,2.2,,,
